name,playlist_link,mood
sad hour,https://open.spotify.com/playlist/37i9dQZF1DWSqBruwoIXkA?si=ca9f65ab12574bb4,Sad
Beast Mode,https://open.spotify.com/playlist/37i9dQZF1DX76Wlfdnj7AP?si=5e13c3fb96c24046,Angry
Soft 10s,https://open.spotify.com/playlist/37i9dQZF1DX1uHCeFHcn8X?si=d2012aa05a0a4088,Calm
Van Life,https://open.spotify.com/playlist/37i9dQZF1DX2ogDiL6nZJr?si=b43fb789abd24820,Happy
Happy Favourites,https://open.spotify.com/playlist/37i9dQZF1DWZKuerrwoAGz?si=b5f5becb4c7042ee,Happy
Workout,https://open.spotify.com/playlist/37i9dQZF1DX70RN3TfWWJh?si=c5d39c5e5dc94637,Angry
Broken Heart,https://open.spotify.com/playlist/37i9dQZF1DXbrUpGvoi3TS?si=d1561357f81d46b3,Sad
Hit Reapeat,https://open.spotify.com/playlist/37i9dQZF1DX574gardB2et?si=a2d1013d16794884,Calm
The Conjuring Soundtracks,https://open.spotify.com/playlist/4qkPGG8GWU3UecX2CPHAdS?si=36c0aa56512947db,Fear
dark vibes,https://open.spotify.com/playlist/6cdWtCl4kuGfjYRg88gV2C?si=b1d119d768aa42dc,Fear
Bollywood Mush,https://open.spotify.com/playlist/37i9dQZF1DXdpQPPZq3F7n?si=3453e9ecb5f348a1,Surprise
Bollywood Unplugged,https://open.spotify.com/album/7CJJOmeba9pllcb3ma3h7b?si=sqpFVgKeT72r03D8AAr6rQ,Surprise
